Lote,Cantidad entregada (L),ph 1,ph 2,ph 3,turbidez 1,turbidez 2,turbidez 3,linea 1,linea 2,linea 3,Volumen de cultivo,Turbidez inicial cultivo inóculo,Turbidez final cultivo inóculo,Viabilidad final cultivo,Orden en el encadenado,Volumen de inóculo utilizado,Turbidez inicio cultivo final,Turbidez final cultivo final,Centrifugación 1 turbidez,Centrigugación 2 turbidez,Producto 1,Producto 2
23045,13.8,5.5120000000000005,5.44,6.112,31.44,31.6,19.6,1,1,0,81.60000000000001,13.2,24.24,87200000,1,81.60000000000001,16.72,72.8,27.84,15.68,1613.808,6.0
23046,0.0,5.5840000000000005,5.5680000000000005,6.048,28.64,26.4,17.36,1,1,0,82.80000000000001,13.2,23.36,86400000,1,82.80000000000001,14.080000000000002,69.67999999999999,21.76,14.64,2060.9919999999997,8.72
23047,0.0,5.5840000000000005,5.5680000000000005,6.048,28.64,26.4,17.36,1,1,0,83.2,13.2,23.36,86400000,1,83.2,18.72,72.08,26.64,19.28,1697.6008000000002,6.88
23048,13.8,5.6240000000000006,5.5120000000000005,5.5200000000000005,29.52,29.200000000000003,28.72,0,1,1,165.60000000000002,14.16,27.04,86400000,1,81.60000000000001,16.0,67.04,21.840000000000003,20.0,1393.072,5.6000000000000005
23049,13.7,5.6240000000000006,5.5120000000000005,5.5200000000000005,29.52,29.200000000000003,28.72,0,1,1,165.60000000000002,14.16,27.04,86400000,1,82.4,14.96,68.8,21.28,24.880000000000003,1766.4688,7.52
23050,13.8,5.5280000000000005,5.488,5.408,25.92,25.760000000000005,26.960000000000004,1,0,1,167.20000000000002,14.240000000000002,25.200000000000003,82400000,1,83.2,16.16,75.28,24.32,21.36,1755.072,6.800000000000001
23051,13.7,5.5280000000000005,5.488,5.408,25.92,25.760000000000005,26.960000000000004,1,0,1,167.20000000000002,14.240000000000002,25.200000000000003,82400000,1,80.0,14.8,49.760000000000005,22.08,13.76,1225.824,5.68
23053,13.8,5.464,5.5760000000000005,5.456,49.2,26.880000000000003,26.960000000000004,1,0,1,165.60000000000002,15.2,28.880000000000003,88000000,1,,16.64,72.64,24.480000000000004,14.56,1681.4240000000002,6.48
23054,13.7,5.5200000000000005,5.496,5.5120000000000005,27.28,28.960000000000004,28.72,1,1,0,163.20000000000002,14.56,26.0,85600000,1,,17.040000000000003,65.28,24.16,28.880000000000003,1683.0560000000005,7.76
23055,13.7,5.5200000000000005,5.496,5.5120000000000005,27.28,28.960000000000004,28.72,1,1,0,163.20000000000002,14.56,26.0,85600000,1,,17.12,81.60000000000001,26.64,23.840000000000003,1563.008,8.08
23056,13.7,5.5680000000000005,5.48,5.5440000000000005,40.64,30.32,31.760000000000005,0,1,1,168.8,,27.04,112000000,1,84.0,18.72,81.60000000000001,29.360000000000003,23.44,1699.68,6.88
23061,13.7,5.5360000000000005,5.5120000000000005,5.5280000000000005,29.680000000000003,30.8,31.52,1,1,0,166.4,16.080000000000002,27.6,103200000,1,82.0,17.84,73.36,25.760000000000005,20.96,1967.84,7.28
23060,13.9,5.5360000000000005,5.5120000000000005,5.5280000000000005,29.680000000000003,30.8,31.52,1,1,0,166.4,16.080000000000002,27.6,103200000,1,82.4,15.04,71.76,23.840000000000003,20.24,1688.2400000000002,7.120000000000001
23063,13.7,5.504,5.496,5.456,30.56,30.24,41.28,1,1,0,166.4,16.16,22.8,101600000,1,83.2,17.6,68.32000000000001,25.52,15.76,1790.16,5.920000000000001
23064,13.8,5.408,5.464,5.464,29.28,31.200000000000003,28.4,1,1,0,165.12,15.92,24.880000000000003,112000000,1,80.80000000000001,16.48,81.60000000000001,27.12,26.56,1821.76,7.440000000000001
23065,13.8,5.408,5.464,5.464,29.28,31.200000000000003,28.4,1,1,0,165.12,15.92,24.880000000000003,112000000,1,81.2,18.880000000000003,74.88,27.680000000000003,20.24,1977.52,6.640000000000001
23067,13.8,5.656000000000001,5.5440000000000005,5.5200000000000005,24.72,27.760000000000005,25.36,0,1,1,168.0,16.080000000000002,25.52,130400000,1,84.0,18.08,60.720000000000006,23.6,16.880000000000003,1793.12,5.84
23068,13.8,5.640000000000001,5.6240000000000006,5.5840000000000005,26.24,35.28,26.480000000000004,0,1,1,165.60000000000002,14.16,21.92,131200000,1,82.0,16.400000000000002,72.96000000000001,24.16,22.56,1743.28,6.96
23069,13.7,5.640000000000001,5.6240000000000006,5.5840000000000005,26.24,35.28,26.480000000000004,0,1,1,165.60000000000002,14.16,21.92,131200000,1,82.0,17.040000000000003,63.6,23.680000000000003,18.4,1548.88,5.6000000000000005
23070,13.6,5.44,5.5200000000000005,5.464,30.960000000000004,33.68,29.52,1,1,0,164.0,14.240000000000002,26.32,86400000,1,80.0,17.52,62.720000000000006,25.680000000000003,15.44,1853.28,5.44
23071,13.8,5.472,5.48,5.496,27.52,26.56,30.480000000000004,1,1,0,167.76,12.72,25.52,76800000,1,82.0,18.0,77.2,28.160000000000004,26.8,2162.48,7.6
23072,13.8,5.472,5.48,5.496,27.52,26.56,30.480000000000004,1,1,0,167.76,12.72,25.52,76800000,1,80.80000000000001,16.64,69.04,24.4,22.72,1832.96,6.08
23073,13.9,5.5200000000000005,5.5200000000000005,5.504,31.52,30.56,34.24,1,0,1,168.0,15.36,29.84,111200000,1,82.4,17.76,71.52000000000001,30.160000000000004,26.4,1756.56,6.56
23075,13.9,5.464,,,42.56,,,1,0,0,168.0,15.36,29.84,111200000,1,82.80000000000001,17.84,70.64,30.8,20.56,1985.4400000000005,6.48
23076,13.8,5.376,,,34.88,,,1,0,0,84.16000000000001,14.16,25.36,92000000,1,84.16000000000001,17.919999999999998,77.2,30.880000000000003,26.4,1670.464,8.08
23077,13.7,5.424,5.44,,30.960000000000004,32.160000000000004,,1,1,0,160.16,18.24,26.56,83200000,1,78.4,26.24,70.96000000000001,30.0,20.72,2151.536,9.12
23078,13.7,5.424,5.44,,30.960000000000004,32.160000000000004,,1,1,0,160.16,18.24,26.56,83200000,1,80.0,18.0,73.2,31.760000000000005,20.8,1470.5280000000002,5.2
23079,13.8,5.312,5.424,5.456,50.64,27.680000000000003,41.04,1,0,1,164.0,14.56,28.160000000000004,92800000,1,82.0,18.64,84.80000000000001,31.760000000000005,31.680000000000003,2045.864,7.120000000000001
23080,13.7,5.312,5.424,5.456,50.64,27.680000000000003,41.04,1,0,1,164.0,14.56,28.160000000000004,92800000,1,80.80000000000001,18.8,83.2,22.64,22.8,1758.168,7.840000000000001
23082,13.7,5.496,,5.504,28.4,,28,1,0,1,166.4,14.64,24.480000000000004,79840000,1,82.0,16.32,67.67999999999999,30.160000000000004,21.12,1821.016,6.16
23083,13.6,5.424,,5.448,29.200000000000003,,30.480000000000004,1,0,1,167.20000000000002,14.72,28.4,91200000,1,82.80000000000001,16.96,54.16,142.4,156.96,1640.6080000000002,5.5200000000000005
23084,13.8,5.424,,5.448,29.200000000000003,,30.480000000000004,1,0,1,167.20000000000002,14.72,28.4,91200000,1,81.60000000000001,17.44,83.2,168.8,151.76,2132.976,7.840000000000001
23081,13.8,5.496,,5.504,28.4,,28,1,0,1,166.4,14.64,24.480000000000004,79840000,1,82.80000000000001,18.24,49.36000000000001,28.960000000000004,15.36,1262.928,3.44
23085,13.9,5.496,5.464,5.208,30.8,30.32,28.480000000000004,1,1,0,160.0,15.44,29.44,100000000,1,84.0,16.32,64.8,28.72,17.680000000000003,1662.92,4.4799999999999995
23086,14.0,5.496,5.464,5.208,30.8,30.32,28.480000000000004,1,1,0,160.0,15.44,29.44,100000000,1,83.2,16.16,64.24,30.4,22.24,1533.04,4.16
23087,13.8,5.48,5.456,5.496,29.680000000000003,31.84,30.4,1,1,0,160.0,15.04,27.44,82480000,1,81.2,18.32,70.56,36.64,44.0,1096.584,4.64
23088,13.7,5.48,5.456,5.496,29.680000000000003,31.84,30.4,1,1,0,160.0,15.04,27.44,82480000,1,80.80000000000001,18.96,77.84,31.680000000000003,21.680000000000003,2150.576,6.08
23089,13.7,5.36,5.392,5.416,37.12,49.44,32.88,1,1,0,160.0,16.8,26.56,86400000,1,82.4,18.32,63.04,30.4,17.84,1710.4080000000004,5.44
23090,13.7,5.36,5.392,5.416,37.12,49.44,32.88,1,1,0,160.0,16.8,26.56,86400000,1,81.60000000000001,17.680000000000003,60.08,26.960000000000004,13.2,1264.96,5.36
23091,13.8,5.5120000000000005,5.472,5.5200000000000005,37.760000000000005,32.72,34.56,1,1,0,160.0,15.44,25.6,96000000,1,82.0,14.56,65.12,24.64,31.92,1491.48,5.5200000000000005
23092,13.8,5.5120000000000005,5.472,5.5200000000000005,37.760000000000005,32.72,34.56,1,1,0,160.0,15.44,25.6,96000000,1,82.0,18.56,74.4,26.32,27.12,1439.848,8.24
23094,13.7,5.392,5.408,5.408,34.480000000000004,33.760000000000005,38.56,1,1,0,160.0,21.52,23.36,94400000,1,81.2,18.08,42.8,22.4,10.08,1373.296,4.800000000000001
23095,13.7,5.392,5.408,5.408,34.480000000000004,33.760000000000005,38.56,1,1,0,160.0,21.52,23.36,94400000,1,81.2,13.36,44.32,21.52,10.4,988.096,5.36
23096,13.3,5.472,5.44,,31.92,32.4,,1,1,0,160.0,16.64,28.480000000000004,91200000,1,80.80000000000001,15.12,64.64,25.28,18.64,1446.7120000000002,5.84
23097,13.5,5.352,,,34.080000000000005,,,1,0,0,80.0,17.28,30.8,89600000,1,81.60000000000001,18.72,68.72000000000001,28.08,20.56,1831.848,5.760000000000001
23098,13.8,5.472,5.44,,31.92,32.4,,1,1,0,160.0,16.64,28.480000000000004,91200000,1,80.80000000000001,16.56,81.04,30.160000000000004,15.36,1470.24,7.440000000000001
23099,13.8,5.5120000000000005,5.5200000000000005,5.5760000000000005,31.04,29.200000000000003,26.72,1,1,0,160.0,16.8,30.0,81600000,1,82.4,21.76,73.36,33.6,22.24,1310.3360000000002,5.920000000000001
23100,13.7,5.5120000000000005,5.5200000000000005,5.5760000000000005,31.04,29.200000000000003,26.72,1,1,0,160.0,16.8,30.0,81600000,1,82.0,22.0,74.48,33.44,17.84,1268.1280000000002,4.960000000000001
23101,13.6,5.384,5.464,5.488,31.84,31.04,32.88,1,1,0,160.0,14.96,23.28,82400000,1,80.4,17.84,68.88,27.84,19.840000000000003,1332.296,7.440000000000001
23102,13.6,5.384,5.464,5.488,31.84,31.04,32.88,1,1,0,160.0,14.96,23.28,82400000,1,81.2,19.36,79.36000000000001,30.960000000000004,19.52,1236.7040000000002,6.16
23103,13.6,5.296,5.36,5.368,33.12,32.080000000000005,34.56,1,1,0,160.0,15.12,23.52,83200000,1,80.4,17.040000000000003,76.08,30.4,27.360000000000003,1668.96,6.16
23105,13.7,5.296,5.36,5.368,33.12,32.080000000000005,34.56,1,1,0,160.0,15.12,23.52,83200000,1,82.4,14.880000000000004,84.0,30.480000000000004,27.84,1855.352,8.64
23104,13.5,5.376,5.336,,32.160000000000004,36.080000000000005,,0,1,0,80.0,16.16,27.760000000000005,90400000,1,80.0,16.400000000000002,81.60000000000001,28.72,23.680000000000003,2112.984,6.96
23108,13.6,,5.416,5.4,,35.6,34.4,0,1,1,160.0,16.64,28.880000000000003,99200000,1,83.2,19.44,75.60000000000001,32.0,20.8,1784.736,5.28
23109,13.6,,5.416,5.4,,35.6,34.4,0,1,1,160.0,16.64,28.880000000000003,99200000,1,83.2,18.48,78.48,34.480000000000004,27.6,969.888,3.76
23110,13.7,5.464,5.424,5.352,46.080000000000005,36,32.4,1,1,0,160.0,16.16,25.760000000000005,84000000,1,81.60000000000001,17.680000000000003,80.08,31.200000000000003,22.56,1957.144,6.720000000000001
23111,13.7,5.464,5.424,5.352,46.080000000000005,36,32.4,1,1,0,160.0,16.16,25.760000000000005,84000000,1,81.60000000000001,17.6,74.24,28.56,24.480000000000004,1924.0,6.56
23112,13.7,5.696000000000001,5.464,5.464,36.32,32.56,30.880000000000003,0,1,1,160.0,16.48,27.6,97600000,1,81.60000000000001,18.0,75.76,28.56,16.400000000000002,1707.616,5.28
23113,13.5,5.696000000000001,5.464,5.464,36.32,32.56,30.880000000000003,0,1,1,160.0,16.48,27.6,97600000,1,81.60000000000001,17.6,78.4,28.72,19.12,1704.2560000000003,6.4
23114,13.6,5.448,5.368,,26.64,29.200000000000003,,1,1,0,160.0,14.880000000000004,26.24,104000000,1,81.60000000000001,15.28,78.56,32.4,28.64,1325.28,4.88
23117,13.6,5.448,5.368,,26.64,29.200000000000003,,1,1,0,160.0,14.880000000000004,26.24,104000000,1,82.0,17.12,90.4,26.0,49.04,1935.336,8.72
23121,13.6,5.232,5.408,,28.72,25.760000000000005,,1,0,0,80.0,11.2,24.4,143200000,1,80.0,12.56,83.2,27.44,44.400000000000006,1672.96,7.52
23118,13.7,5.352,,5.368,39.92,,37.68,1,0,1,160.0,16.880000000000003,26.56,104000000,1,83.2,16.64,75.2,29.84,54.8,1198.16,4.800000000000001
23119,13.6,5.352,,5.368,39.92,,37.68,1,0,1,160.0,16.880000000000003,26.56,104000000,1,82.4,19.52,73.52000000000001,31.44,16.880000000000003,2059.84,5.28
23120,13.7,5.32,5.384,,32.160000000000004,31.44,,1,0,0,80.0,16.240000000000002,26.8,104800000,1,80.0,19.36,85.60000000000001,32.080000000000005,21.36,2338.56,5.44
23126,13.6,5.432,,5.384,29.200000000000003,,27.04,1,0,1,80.80000000000001,14.0,28.480000000000004,134400000,1,80.80000000000001,15.28,79.12,32.4,34.480000000000004,2395.36,7.6
23127,13.6,5.432,,5.384,29.200000000000003,,27.04,1,0,1,80.4,14.0,28.480000000000004,134400000,1,80.4,14.480000000000002,78.0,28.56,29.6,2155.76,7.040000000000001
23124,13.7,5.368,5.384,5.36,30,28.08,32.160000000000004,1,0,1,83.2,15.92,25.52,88800000,1,83.2,17.6,73.28,28.64,29.28,1517.92,4.4799999999999995
23125,13.5,5.368,5.384,5.36,30,28.08,32.160000000000004,1,0,1,84.0,15.92,25.52,88800000,1,84.0,19.52,73.60000000000001,32.080000000000005,20.32,1688.08,4.800000000000001
23131,13.6,5.376,5.424,,35.12,35.52,,1,0,0,84.0,15.44,22.32,144800000,1,83.2,18.16,73.52000000000001,40.9,19.52,1778.2400000000002,6.88
23132,13.6,5.44,5.488,,34.080000000000005,32.480000000000004,,1,1,0,176.0,15.6,24.96,101600000,1,88.0,17.84,82.4,31.6,21.36,2107.68,5.760000000000001
23133,13.7,5.44,5.488,,34.080000000000005,32.480000000000004,,1,1,0,176.0,15.6,24.96,101600000,1,85.2,15.76,79.84,27.44,36.48,1899.6,6.96
23136,13.76,5.5200000000000005,,5.5200000000000005,40.8,,35.68,1,0,1,166.4,15.68,32.64,122400000,1,83.2,16.48,71.2,27.360000000000003,17.76,1460.4,4.960000000000001
23137,13.75,5.5200000000000005,,5.5200000000000005,40.8,,35.68,1,0,1,166.4,15.68,26.56,167200000,1,81.60000000000001,16.16,56.96000000000001,26.880000000000003,20.16,526.4,4.24
23138,13.77,5.416,5.448,5.464,32.24,30,38.48,1,0,1,160.0,12.880000000000004,18.08,252000000,1,80.0,16.16,69.04,26.0,19.200000000000003,1468.88,4.88
23139,13.72,5.416,5.448,5.464,32.24,30,38.48,1,0,1,160.0,12.880000000000004,21.840000000000003,56800000,1,80.0,15.92,74.08,26.72,20.0,1468.88,6.16
24003,12.48,5.5200000000000005,5.5200000000000005,5.68,25.28,26,25.28,1,1,0,168.0,13.68,19.36,88800000,1,82.4,15.52,74.4,33.2,28.32,1275.8,4.16
24004,13.69,5.44,5.5200000000000005,5.5200000000000005,31.200000000000003,28.880000000000003,25.84,1,1,0,168.0,14.480000000000002,24.480000000000004,79120000,1,84.0,18.32,70.16000000000001,28.72,19.52,1385.6,4.24
24005,13.55,5.36,5.44,,28.960000000000004,26.480000000000004,,1,0,0,82.64,15.28,30.480000000000004,79760000,1,82.4,16.64,84.0,29.52,22.880000000000003,1419.68,4.88
24007,13.68,5.36,5.36,5.36,40.400000000000006,34.4,27.28,1,1,0,167.12,14.4,32.88,79440000,1,80.0,16.080000000000002,85.60000000000001,28.8,23.36,1640.4,6.16
24008,13.75,5.36,5.36,5.36,40.400000000000006,34.4,27.28,1,1,0,167.12,14.4,32.88,79440000,1,82.4,17.12,84.0,29.44,20.8,1575.44,5.44
24010,13.66,5.448,5.504,5.5280000000000005,35.04,24.16,25.44,1,0,1,160.0,15.52,30.64,95200000,1,80.0,19.52,84.0,33.44,27.52,1297.04,8.0
24009,13.77,5.48,5.5520000000000005,5.6080000000000005,25.680000000000003,27.04,28,1,0,1,160.0,14.4,23.680000000000003,91200000,1,80.0,15.12,74.16000000000001,26.960000000000004,20.0,1479.5200000000002,7.52
24012,13.69,5.48,5.5520000000000005,5.6080000000000005,25.680000000000003,27.04,28,1,0,1,160.0,14.4,23.680000000000003,91200000,1,80.0,17.52,87.2,31.760000000000005,25.12,1807.52,7.6
24014,13.55,5.488,5.456,5.5600000000000005,34.88,34.480000000000004,35.04,1,1,0,160.0,12.16,17.680000000000003,37040000,1,83.60000000000001,14.56,70.0,26.56,17.76,1590.7200000000005,5.04
24020,13.63,5.448,5.504,5.5280000000000005,35.04,24.16,25.44,1,0,1,160.0,15.52,30.64,95200000,1,80.0,18.0,84.80000000000001,29.52,20.16,2004.0,7.920000000000001
24020,13.63,5.448,5.504,5.5280000000000005,35.04,24.16,25.44,1,0,1,160.0,15.52,30.64,95200000,1,80.0,18.0,84.80000000000001,29.52,20.16,2004.0,7.920000000000001
24020,13.63,5.448,5.504,5.5280000000000005,35.04,24.16,25.44,1,0,1,160.0,15.52,30.64,95200000,1,80.0,18.0,84.80000000000001,29.52,20.16,2004.0,7.920000000000001
24020,13.63,5.448,5.504,5.5280000000000005,35.04,24.16,25.44,1,0,1,160.0,15.52,30.64,95200000,1,80.0,18.0,84.80000000000001,29.52,20.16,2004.0,7.920000000000001
24019,13.74,5.5200000000000005,5.36,,35.2,37.04,,0,1,0,80.0,14.32,26.480000000000004,"1,27+e08",1,80.0,16.64,75.04,30.08,18.72,1574.7200000000005,5.68
24021,13.54,5.28,5.44,,37.68,26.72,,1,0,0,80.0,15.52,26.480000000000004,101600000,1,80.0,15.6,71.60000000000001,27.84,15.92,1493.7600000000002,6.56
24027,13.6,5.488,5.456,5.5600000000000005,34.88,34.480000000000004,35.04,1,1,0,160.0,12.16,17.680000000000003,37040000,1,83.60000000000001,18.72,72.88,31.200000000000003,16.240000000000002,1663.2,5.120000000000001
24031,13.7,5.768000000000001,5.488,,24.480000000000004,32.96,,0,1,0,82.4,15.04,28.960000000000004,66640000,1,80.0,14.8,87.2,29.84,26.08,1812.48,6.88
24035,13.7,5.44,5.448,5.5120000000000005,26.880000000000003,31.12,28.8,0,1,0,168.4,14.080000000000002,20.880000000000003,88000000,1,80.0,16.72,61.44,28.24,13.68,970.8,3.04
24036,13.74,5.44,5.448,5.5120000000000005,26.880000000000003,31.12,28.8,0,1,0,168.4,14.080000000000002,20.880000000000003,88000000,1,80.0,14.4,61.2,24.880000000000003,13.52,1194.48,4.08
24041,13.81,5.5600000000000005,5.456,5.496,23.200000000000003,27.6,26.960000000000004,0,1,1,163.20000000000002,13.28,24.64,134400000,1,80.0,18.64,77.60000000000001,30.960000000000004,20.72,1101.04,4.720000000000001
24042,13.78,5.5600000000000005,5.456,5.496,23.200000000000003,27.6,26.960000000000004,0,1,1,163.20000000000002,13.28,24.64,134400000,1,80.0,19.040000000000003,68.4,30.08,14.480000000000002,1151.44,4.32
24045,13.71,5.5120000000000005,5.6240000000000006,5.5520000000000005,26.08,25.200000000000003,28.24,1,1,0,165.60000000000002,13.840000000000002,23.200000000000003,109600000,1,80.0,17.52,72.48,27.84,17.76,1573.5200000000002,5.760000000000001
24044,13.75,5.424,5.408,5.48,24.4,27.92,24.480000000000004,1,1,0,167.20000000000002,14.8,25.28,104800000,1,83.60000000000001,19.28,77.52000000000001,30.72,20.680000000000003,1528.7200000000005,5.44
24049,13.57,5.424,5.408,5.48,24.4,27.92,24.480000000000004,1,1,0,167.20000000000002,14.8,25.28,104800000,1,83.60000000000001,18.880000000000003,72.64,30.56,17.0,1342.8000000000002,4.88
24050,13.63,5.496,5.488,5.376,34,27.84,35.12,1,0,1,168.32000000000002,14.72,25.92,102400000,1,84.16000000000001,17.76,67.60000000000001,29.44,26.64,1422.8000000000002,3.68
24051,13.83,5.496,5.488,5.376,34,27.84,35.12,1,0,1,168.32000000000002,14.72,25.92,102400000,1,84.16000000000001,17.76,80.80000000000001,33.44,19.32,1486.5600000000002,5.5200000000000005
